dataset,group,m,k,algorithm,param_eps,div,num_elem,time1,time2,time3
Adult,both,10,10,FairGreedyFlow,0.05,1.1669391609414312,-,-,-,34.37614161759702
Adult,both,10,10,Alg2,0.05,3.8269838124116964,225.3,0.0,5.886699222498282,5.886699222498282
adult,Both,10,20,FairFlow,0.05,1.0436430613482743,-,-,-,6.115996691897453
adult,Both,10,20,scalable_fmmd_ILP,0.05,4.849186314716075,-,-,-,12.794147185396287
Adult,both,10,20,FairGreedyFlow,0.05,0.8542127891483716,-,-,-,44.29339393989649
Adult,both,10,20,Alg2,0.05,3.4238213120273513,447.5,0.0,7.380830878402048,7.380830878402048
adult,Both,10,30,FairFlow,0.05,0.9512566800085202,-,-,-,9.235786425496917
adult,Both,10,30,scalable_fmmd_ILP,0.05,4.28182929928416,-,-,-,15.310106091796479
Adult,both,10,30,FairGreedyFlow,0.05,0.7240671111321813,-,-,-,57.854153853302705
Adult,both,10,30,Alg2,0.05,2.994474012048709,650.5,0.0,9.497134559298866,9.497134559298866
adult,Both,10,40,FairFlow,0.05,0.7012148150750225,-,-,-,12.442495922498347
adult,Both,10,40,scalable_fmmd_ILP,0.05,3.9055361084089784,-,-,-,17.813915012401413
Adult,both,10,40,FairGreedyFlow,0.05,0.5506653603781558,-,-,-,73.57234653990017
Adult,both,10,40,Alg2,0.05,2.7798428300295526,833.4,0.0,13.02975015920092,13.02975015920092
adult,Both,10,50,FairFlow,0.05,0.68402755671531,-,-,-,15.758273724098398
adult,Both,10,50,scalable_fmmd_ILP,0.05,3.563527732240612,-,-,-,22.235903665701336
Adult,both,10,50,FairGreedyFlow,0.05,0.4940678343750099,-,-,-,89.92356105590152
Adult,both,10,50,Alg2,0.05,2.5516643333865585,1000.5,0.0,15.519422055197357,15.519422055197357
adult,Both,10,60,FairFlow,0.05,0.6262037083636953,-,-,-,19.24078409950016
adult,Both,10,60,scalable_fmmd_ILP,0.05,3.3469385421727695,-,-,-,26.63779093149933
Adult,both,10,60,FairGreedyFlow,0.05,0.4610962492925581,-,-,-,106.64661136380164
Adult,both,10,60,Alg2,0.05,2.5270534759907983,1199.4,0.0,21.12036826689873,21.12036826689873
adult,Both,10,70,FairFlow,0.05,0.6552548245927196,-,-,-,23.015109384899553
adult,Both,10,70,scalable_fmmd_ILP,0.05,3.1861898063988034,-,-,-,30.325371548201655
Adult,both,10,70,FairGreedyFlow,0.05,0.428005561838269,-,-,-,123.83721608619962
Adult,both,10,70,Alg2,0.05,2.3495276342543154,1302.9,0.0,25.353183871600777,25.353183871600777
adult,Both,10,80,FairFlow,0.05,0.6019610585291973,-,-,-,27.71334569779865
adult,Both,10,80,scalable_fmmd_ILP,0.05,2.9921970733961283,-,-,-,38.5559128184017
Adult,both,10,80,FairGreedyFlow,0.05,0.4279149476526641,-,-,-,141.34262397559942
Adult,both,10,80,Alg2,0.05,2.288147136810882,1433.8,0.0,31.157407007992152,31.157407007992152
adult,Both,10,90,FairFlow,0.05,0.6461888702859974,-,-,-,32.41656936370127
adult,Both,10,90,scalable_fmmd_ILP,0.05,2.886889116142735,-,-,-,40.802781408796726
Adult,both,10,90,FairGreedyFlow,0.05,0.400682379674908,-,-,-,158.54109474360158
Adult,both,10,90,Alg2,0.05,1.5529831214349767,1570.2,0.0,38.219854495499746,38.219854495499746
adult,Both,10,100,FairFlow,0.05,0.6486957109010334,-,-,-,35.54538330860087
adult,Both,10,100,scalable_fmmd_ILP,0.05,2.761820100691601,-,-,-,44.10836127779912
Adult,both,10,100,FairGreedyFlow,0.05,0.39228251553316806,-,-,-,174.5664221314044
Adult,both,10,100,Alg2,0.05,2.1954891492986963,1700.2,0.0,42.92258085650101,42.92258085650101
